City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kalmar,SE,2022-07-09 18:16:47,56.6616,16.3616,67.14,65,38,5.99
1,Mahebourg,MU,2022-07-09 18:16:47,-20.4081,57.7,68.29,68,40,14.97
2,Lima,PE,2022-07-09 18:12:04,-12.0432,-77.0282,70.9,67,75,12.66
3,Hermanus,ZA,2022-07-09 18:16:48,-34.4187,19.2345,54.81,74,18,10.11
4,Ballina,AU,2022-07-09 18:16:48,-28.8667,153.5667,49.01,85,79,8.88
5,Butaritari,KI,2022-07-09 18:16:49,3.0707,172.7902,81.12,80,72,12.19
6,Kassala,SD,2022-07-09 18:16:49,15.451,36.4,80.78,65,97,15.73
7,Malinovoye Ozero,RU,2022-07-09 18:16:50,51.6753,79.7825,63.66,88,93,9.75
8,Kapaa,US,2022-07-09 18:16:50,22.0752,-159.319,80.58,85,75,12.66
9,Komsomolskiy,UZ,2022-07-09 18:16:50,40.4272,71.7189,81.32,26,100,4.61
10,San Quintin,MX,2022-07-09 18:14:53,30.4833,-115.95,74.34,65,25,15.03
11,Mataura,NZ,2022-07-09 18:16:51,-46.1927,168.8643,35.47,93,29,2.01
12,Contamana,PE,2022-07-09 18:16:51,-7.3333,-75.0167,91.8,44,66,2.26
13,Torbay,CA,2022-07-09 18:16:52,47.6666,-52.7314,67.28,79,75,13.8
14,Homer,US,2022-07-09 18:12:12,59.6425,-151.5483,58.89,73,100,4.61
15,Hobart,AU,2022-07-09 18:16:52,-42.8794,147.3294,46.26,88,100,4.61
16,Carnarvon,AU,2022-07-09 18:16:53,-24.8667,113.6333,70.57,70,4,8.88
17,Pedernales,DO,2022-07-09 18:16:53,18.0384,-71.744,88.54,54,98,1.03
18,Tuktoyaktuk,CA,2022-07-09 18:16:54,69.4541,-133.0374,50.0,100,100,6.91
19,Quatre Cocos,MU,2022-07-09 18:16:54,-20.2078,57.7625,68.11,58,94,21.94
